################################################################################################################################
Constituency code, 		34
Constituency, 			Afzalpur
----------------------------------------------------
IBRAHIM KAILARA                                 Karnataka Jantha Paksha                                 1157      
################################################################################################################################
Constituency code, 		47
Constituency, 			Basavakalyan
----------------------------------------------------
Candiate                                        Party                                                   Votes     
MALLIKARJUN SIDRAMAPPA KHUBA                    Janata Dal  (Secular)                                   37494     
B. NARAYANRAO                                   Indian National Congress                                21601     
M.G.MULEY                                       Badavara Shramikara Raitara Congress Party              18214     
ATTUR MALLAMMA PATIL                            Karnataka Jantha Paksha                                 17965     
SANJAY D PATWARI                                Bharatiya Janata Party                                  17431     
SARDAR KHAN                                     Welfare Party Of India                                  2742      
JAGANATH PATIL                                  Independent                                             2595      
MALLAMMA BIRADAR                                Independent                                             1701      
ABDUL RAZAQ                                     Bahujan Samaj Party                                     1489      
SHAHAJIRAO                                      Independent                                             896       
SYED ANWAR (PEERAN)                             Independent                                             834       
CHITAGUPPA MAHADEVI SHAMARAO                    Independent                                             798       
A.MILIND GURUJI                                 Republican Party of India                               673       
MALLIKARJUN                                     National People's Party                                 553       
MULEY DNYANESHWAR                               Independent                                             514       
ARUNKUMAR                                       Independent                                             355       
SYED GOUSE                                      Hindustan Janta Party                                   317       
################################################################################################################################
Constituency code, 		28
Constituency, 			Basavana Bagevadi
----------------------------------------------------
Candiate                                        Party                                                   Votes     
SHIVANAND S PATIL                               Indian National Congress                                56329     
BELLUBBI SANGAPPA KALLAPPA                      Bharatiya Janata Party                                  36653     
SOMANAGOUDA (APPUGOUDA) B. PATIL                Janata Dal  (Secular)                                   18136     
DESAI SANGRAJ ANNASAHEB                         Karnataka Jantha Paksha                                 9834      
SIDDAPPA B.GANJI                                Independent                                             1259      
KATTI MARIYAPPA CHANDRAMAPPA                    Bahujan Samaj Party                                     1079      
GOPAL SHIVAPPA DHANASHETTY                      Badavara Shramikara Raitara Congress Party              1035      
NAZIR DUNDASI                                   Welfare Party Of India                                  574       
LAXIMBAI SHIVAPPA G PATIL                       Independent                                             540       
VEERANAGOUDA MALLAPPA PARANNAVAR                Independent                                             513       
GURUSIDDAYYA M SARUR                            Independent                                             337       
ASHOK LAMANI                                    Independent                                             277       
IRANNA CHANABASAPPA NIDAGUNDI                   Independent                                             253       
################################################################################################################################
Constituency code, 		170
Constituency, 			Basavanagudi
----------------------------------------------------
Candiate                                        Party                                                   Votes     
RAVI SUBRAMANYA.L.A.                            Bharatiya Janata Party                                  43883     
K.BAGEGOWDA                                     Janata Dal  (Secular)                                   24163     
B.K.CHANDRASHEKAR                               Indian National Congress                                21588     
SHANTHALA DHAMLE                                Lok Satta Party                                         9071      
RAVIKIRAN                                       Karnataka Jantha Paksha                                 1741      
SHIVAKUMAR.V.                                   Independent                                             528       
L.RAMESH                                        Bahujan Samaj Party                                     481       
K.N.CHANDRASHEKAR                               Independent                                             333       
V.NANJUNDA                                      Lok Jan Shakti Party                                    286       
K.N.VENKATESH                                   Independent                                             281       
N.RAVI                                          SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)             253       
YOGESH                                          Independent                                             243       
DR.NAGESH.M.N.                                  Independent                                             200       
T.K.PREMKUMAR                                   Pyramid Party of India                                  168       
GOPAL.K.                                        Independent                                             158       
DR.KODUR VENKATESH                              Independent                                             110       
N.HEMANTH KUMAR GOWDA                           Janata Dal  (United)                                    88        
ARUNKUMAR.P.                                    Independent                                             79        
################################################################################################################################
Constituency code, 		12
Constituency, 			Belgaum Dakshin
----------------------------------------------------
Candiate                                        Party                                                   Votes     
SAMBHAJI LAKSHMAN PATIL                         Independent                                             54426     
ABHAY PATIL                                     Bharatiya Janata Party                                  48116     
ANIL M. POTDAR                                  Indian National Congress                                20536     
S. M. DODAMANI                                  Karnataka Jantha Paksha                                 5597      
BASAVARAJ SHRISHAILAPPA JAVALI                  Janata Dal  (Secular)                                   1324      
NETHAJI (BALU) APPAJI MANAGUTKAR                Independent                                             771       
MALTI A. SAKSENA                                Bahujan Samaj Party                                     373       
MOHSINKHAN NASIRKHAN PATHAN                     Badavara Shramikara Raitara Congress Party              367       
HANMANT KRISHNA MAJUKAR                         Shivsena                                                256       
ASHOK VITHAL SANADI                             Janata Dal  (United)                                    180       
################################################################################################################################
Constituency code, 		13
Constituency, 			Belgaum Rural
----------------------------------------------------
Candiate                                        Party                                                   Votes     
SANJAY B PATIL                                  Bharatiya Janata Party                                  38322     
KINEKAR MANOHAR KALLAPPA                        Independent                                             36987     
LAKSHMI RAVINDRA HEBBALKAR                      Indian National Congress                                35811     
ANANDSWAMY GADDADEVARMATH                       Independent                                             17670     
SHIVAJI KEDARI SUNTAKAR                         Independent                                             15759     
SUNANDA L PATIL                                 Karnataka Jantha Paksha                                 2290      
ASHOK B GOVEKAR                                 Janata Dal  (Secular)                                   1837      
BALASAHEB BHIMAPPA SATTIGERI                    Independent                                             1023      
MALPE NARASINH VANKATESH BHAT                   Independent                                             697       
BALACHANDRA RAMACHANDRA CHAVAN                  Badavara Shramikara Raitara Congress Party              637       
JAYASHREE D KHANAPUR                            Independent                                             597       
SIDAGOUD KALAGOUD MODAGI                        Janata Dal  (United)                                    429       
################################################################################################################################
Constituency code, 		11
Constituency, 			Belgaum Uttar
----------------------------------------------------
Candiate                                        Party                                                   Votes     
FAIROZ NURUDDIN SAITH                           Indian National Congress                                45125     
RENU SUHAS KILLEKAR                             Independent                                             26915     
KIRAN MARUTI JADHAV                             Bharatiya Janata Party                                  17456     
SHIVAPUTHRAPPA CHANBASAPPA MALAGI               Karnataka Jantha Paksha                                 15271     
KUDACHI RAMESH LAXMAN                           Badavara Shramikara Raitara Congress Party              3980      
LATIFKHAN PATHAN                                Independent                                             1367      
SHRADHA DHARMRAJ                                Janata Dal  (Secular)                                   1277      
NAGESH VILAS SAKHARE                            Lok Satta Party                                         944       
MAHENDRA D. DESHPANDE                           Bahujan Samaj Party                                     851       
RAVI B. MALAGI                                  Independent                                             690       
CHANDRASHEKHAR GANGAPPA ANGADI                  Janata Dal  (United)                                    624       
LODHI AIJAZ AHAMED MEHBOOB SAB                  Indian Union Muslim League                              213       
AKHILA AYUBKHAN PATHAN                          Independent                                             189       
MOHAMMED RAFIQ B. DESAI                         Independent                                             180       
MAGDUM GOUSMOHIUDDIN ISMAIL MAGDUM              Hindustan Janta Party                                   101       
################################################################################################################################
Constituency code, 		93
Constituency, 			Bellary
----------------------------------------------------
Candiate                                        Party                                                   Votes     
B. SREERAMULU                                   Badavara Shramikara Raitara Congress Party              74854     
ASUNDI VANNURAPPA                               Indian National Congress                                41560     
MEENALLI TAYANNA                                Janata Dal  (Secular)                                   3958      
HULUGAPPA PONNURU                               Bharatiya Janata Party                                  2478      
PANDU BYALACHINTE                               Karnataka Jantha Paksha                                 2347      
B. SREENIVASULU                                 Independent                                             1097      
ALIVELU                                         Independent                                             815       
A. DEVADAS                                      SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)             726       
V MAREPPA                                       Bahujan Samaj Party                                     579       
NINGAPPA TOLAMAMIDI                             Independent                                             526       
S. VENUGOPAL                                    Independent                                             478       
BHUGULU DEVENDRAPPA                             Independent                                             453       
JALIHAL RUDRAPPA                                Ambedkar Janatha Party                                  443       
################################################################################################################################
Constituency code, 		94
Constituency, 			Bellary City
----------------------------------------------------
Candiate                                        Party                                                   Votes     
ANIL LAD                                        Indian National Congress                                52098     
S. MURALI KRISHNA                               Badavara Shramikara Raitara Congress Party              33898     
MUNNA                                           Janata Dal  (Secular)                                   16285     
GUTTIGANURU VIRUPAKSHA GOUDA                    Bharatiya Janata Party                                  5646      
K NAGABHUSHANA RAO                              Communist Party of India                                2508      
J B JAYAMMA                                     Independent                                             877       
CHANDRASHEKAR NAIDU                             Independent                                             794       
D NAGALAKSHMI                                   SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)             652       
P S GURURAJ                                     Independent                                             536       
PRUTHVIRAJ                                      Republican Party of India (A)                           490       
M SUJAN BABU                                    Independent                                             459       
D PARTHASARATHI                                 Independent                                             444       
ARUNACHALAM Y                                   Pyramid Party of India                                  429       
MEKALA ESHWARA REDDY                            Independent                                             427       
SARMAS BEE                                      Independent                                             412       
M. NARAYANA SWAMY                               Bahujan Samaj Party                                     411       
P BANDE GOUDA                                   Independent                                             353       
